scale,gate_on_edges,gate_on_background,difference
1,0.4781026343504588,0.49494966864585876,-0.016847034295399965
2,0.48672883709271747,0.49003388981024426,-0.0033050527175267908
3,0.4439217746257782,0.47003881136576336,-0.026117036739985167
4,0.4672709008057912,0.48311414817969006,-0.01584324737389886
